Audio File,Base WER,Fine-tuned WER,WER Improvement,Base Reference,Base Prediction,Fine-tuned Prediction
SP0873-CH00-SE01-RC755.flac,92.3076923076923,23.076923076923077,69.23076923076923,trading halt has turned into a suspension pending the release of an announcement.," Trading halt hasterin ke dalam penjagaan penjagaan, perlukan perlukan dan perlukan.",training halt has turned into a suspension bending the release of an announcement
SP0873-CH00-SE01-RC451.flac,16.666666666666664,33.33333333333333,-16.666666666666664,the shop keeps its costs low by buying its supplies in bulk., The shop keeps its cost low by buying its supplies in bulk.,the shop keeps its cause low buy buying it supplies in bulk
SP0402-CH00-SE00-RC209.flac,111.11111111111111,16.666666666666664,94.44444444444446,"regardless, as free parking on sunday and in general becomes increasingly endangered, so might our delicate social fabric."," Kita berguna dengan kawasan yang berguna dan di general berguna, terlalu berguna dan berguna, jadi mungkin kita berguna di sosial fabrik.",we getless as free parking on sunday and in general becomes increasingly endangered so might our delicate social fabric.
SP0835-CH00-SE00-RC397.flac,226.3157894736842,5.263157894736842,221.05263157894734,many countries require a passport to be valid for at least six months as part of their entry requirements., Mereka perlukan perlukan perlukan perlukan perlukan perlukan perlukan perlukan perlukan perlukan perlukan perlukan perlukan perlukan perlukan perlukan perlukan perlukan perlukan perlukan perlukan perlukan perlukan perlukan perlukan perlukan perlukan perlukan perlukan perlukan perlukan perlukan perlukan perlukan perlukan perlukan perlukan perlukan perlukan perlukan perlukan perl,many countries require a passport to be valid for at least 6 months as part of their entry requirements.
SP0566-CH00-SE00-RC113.flac,20.0,20.0,0.0,"previously, there was no restriction."," Previously, there was no restriction.",previously there was no restriction.
SP0681-CH00-SE00-RC095.flac,500.0,22.22222222222222,477.77777777777777,most youths today think that their future is uncertain., Mestk menggunakan hari ini fikir kata-kata mereka akan menggunakan sebuah sebuah sebuah sebuah sebuah sebuah sebuah sebuah sebuah sebuah sebuah sebuah sebuah sebuah sebuah sebuah sebuah sebuah sebuah sebuah sebuah sebuah sebuah sebuah sebuah sebuah sebuah sebuah sebuah sebuah sebuah sebuah sebuah sebuah sebuah sebuah,most used today think that their future is uncertain
SP0838-CH00-SE01-RC732.flac,33.33333333333333,11.11111111111111,22.222222222222218,how else to do so other than being dapper?, How else do so other than being a dapper?,how else to do so other than being a dapper?
SP0681-CH00-SE00-RC397.flac,10.0,0.0,10.0,it will improve your experience the more it knows you., It will improve your experience the more it knows you.,it will improve your experience the more it knows you.
SP0566-CH00-SE00-RC213.flac,90.0,20.0,70.0,set a stop-loss order of 50% for my current order., Setahun penyelaskan 50% untuk penyelaskan saya.,set a stop loss order of 50% for my current order.
SP0873-CH00-SE01-RC401.flac,44.44444444444444,77.77777777777779,-33.33333333333334,a smile can often lift up a weary spirit., A small can of them lift up a weary spirit.,a small can of them lived up at a weird spirit
