Audio File,Base WER,Fine-tuned WER,WER Improvement,Base Reference,Base Prediction,Fine-tuned Prediction
SP0873-CH00-SE01-RC755.flac,100.0,100.0,0.0,trading halt has turned into a suspension pending the release of an announcement.,TRADING HALT HAS TURNED INTO A SUSPENSION BENDING THE REALEASE OF AN ANNOUNCEMENT,w5gkzgzyz5yzyzy5z5zy5ykyt’ybzhzhyz[UNK]kvykys[UNK]w[UNK]y’ykzyky[UNK]yky[UNK]vy’zykl%zyky’z5zyz5z[UNK]yz5z5z5yky’y[UNK]sykzk5wy’'’y’yluzhyhyzy5’z5zkz
SP0873-CH00-SE01-RC451.flac,100.0,100.0,0.0,the shop keeps its costs low by buying its supplies in bulk.,THE SHOP KEEPS ITS COSLOW BY BYINGS ITS SUPPLIES IN BULK,znz5yz5zkz5z5z5zz5ykzykzk5v5y5pzy5t[UNK]5vwykykv5kkvz5ykyky5z5y5kz’5[UNK]5z[UNK]y[UNK]ykvwy5[UNK]zy5pz5yky5kzk5z5z
SP0402-CH00-SE00-RC209.flac,105.55555555555556,100.0,5.555555555555557,"regardless, as free parking on sunday and in general becomes increasingly endangered, so might our delicate social fabric.",REGETLESS AS FREE PUCKING ON SUNDAY AND IN GENERAL BECOMES INCREASINGLY AND INJURED SO MIGHT OUR DELICATE SOCIAL FABRIC,zozozozkvzyvzkyzkzkzkz5zzkykz[UNK]ydk’kykyshyvwk[UNK]zk[UNK]vwzyks[UNK]hy[UNK]ydzykukydkzyk’l[UNK]lkl’ykydzdk’kykz[UNK]ydkt’xkykykvap[UNK]z[UNK]dyk’z[UNK]z[UNK]yvy[UNK]zyz[UNK]y’kykyk[UNK]ya[UNK]ykykzd[UNK]z’k’[UNK]yz[UNK]ykv[UNK]z[UNK]kyzyzykzzvy[UNK]ykaz’yk’zw[UNK]ykzyk[UNK]ydk'yk[UNK]zykzk[UNK]h[UNK]ykyklt[UNK]yzkyktky’kxkzvzyk%[UNK]zny[UNK]zkzvzozvzkyzkz
SP0835-CH00-SE00-RC397.flac,100.0,100.0,0.0,many countries require a passport to be valid for at least six months as part of their entry requirements.,MANY COUNTRIES REQUIRE A POSSPLE TO BE VALLIED FOR EALY SIX MONTHS AS PART OF THEIR ENTRY REQUIREMENTS,wnznzwkzkzkgkzk[UNK]ykskyko[UNK]sk[UNK]shk[UNK]zk’klkzyk[UNK]kvykvwh5tvyk[UNK]kyk’kp[UNK]kyk5k[UNK]y[UNK]ykv[UNK]yk[UNK]zyklotvyvkt[UNK][UNK]yvykv[UNK]’kvkvkykzkzk’t’[UNK]kykzkzk[UNK]ktzkzkz’kzk[UNK]ykykvkzkzwkwnkzznzkz
SP0566-CH00-SE00-RC113.flac,100.0,100.0,0.0,"previously, there was no restriction.",PREVIOUSLY THERE WAS NO RESTRICTION,vzyzkgykzykzyzyzvzyz[UNK]ykys[UNK]yzzyyzyz[UNK]zyzz’yyzyz[UNK]yzyzyzyzzzzvzvzvzvzvzv
SP0681-CH00-SE00-RC095.flac,111.11111111111111,100.0,11.111111111111114,most youths today think that their future is uncertain.,MOST USED TO THEY THINK THAT THEIR FUTURE IS UNCERTAIN,kzkzkzkzvzkvkzvkzk[UNK]vwzwkzkhkvw[UNK]yktfkzkkkvkztz[UNK]kzfzkzkzkz[UNK]kzkzkzkk’l[UNK]zkz5kgwz[UNK]kzkzkzkvokqkvkv
SP0838-CH00-SE01-RC732.flac,100.0,100.0,0.0,how else to do so other than being dapper?,HOW ELSE DO SA OTHER THAN BING A DEPER,qzkzkzkzkzkzkzk[UNK]kt[UNK]zk[UNK]z[UNK]kzkvkk’zkzktzkvzkzkzvzkzkq'zkz'zkwzkzqz
SP0681-CH00-SE00-RC397.flac,110.00000000000001,100.0,10.000000000000014,it will improve your experience the more it knows you.,IT WAY ALL IMPROVE YOUR EXPERIENCE THE MORE IT NOWS YOU,zkwgkgkgzkgk[UNK]kvkvk5z5kzkzltz[UNK]yk[UNK]kxkzy[UNK]z[UNK]zyzvzk[UNK]yvkzykz’kzykzkz'’zklt[UNK][UNK]zvwazkzk'kok'koko'o
SP0566-CH00-SE00-RC213.flac,130.0,100.0,30.0,set a stop-loss order of 50% for my current order.,SET A STOP LOST ORDER OF FIFTY PER CENT FOR MY CURREN ORDER,zyzyzyzyzyzyzvy’ywryzszyvwyhkyzyzyz[UNK]zyk’kyzzyzyfyzyzyt[UNK]z[UNK]yzy’zzwnzyzyzyzyzyzkyzy’zyzyz’xyzzyz
SP0873-CH00-SE01-RC401.flac,100.0,100.0,0.0,a smile can often lift up a weary spirit.,A SMIRK KIN OFTEN LIFED UP AA WEARY SPIRIT,z[UNK]y[UNK]y[UNK]yny[UNK]y[UNK]ys[UNK]yszy’yzysysy[UNK]yz’syzksykz[UNK]yvyvyxykzy[UNK]zyvykz[UNK]gk[UNK]zyzy[UNK]y[UNK]z
